/usr/lib/python2.7/dist-packages/h5py/__init__.py:34: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
2018-11-30 21:04:01.672761: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-11-30 21:04:02.002001: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-11-30 21:04:02.002731: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:00:04.0
totalMemory: 15.90GiB freeMemory: 15.61GiB
2018-11-30 21:04:02.003029: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-11-30 21:04:02.305504: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-11-30 21:04:02.305826: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-11-30 21:04:02.305958: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-11-30 21:04:02.306364: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15129 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:00:04.0, compute capability: 6.0)
loading dataset
converting dataset to list of sentences
converting text to embeddings
iterations 1 loss: 0.703311  
iterations 2 loss: 0.700619  
iterations 3 loss: 0.698890  
iterations 4 loss: 0.697320  
iterations 5 loss: 0.696451  
iterations 6 loss: 0.695800  
iterations 7 loss: 0.694806  
iterations 8 loss: 0.694425  
iterations 9 loss: 0.694053  
iterations 10 loss: 0.693593  
iterations 11 loss: 0.693382  
iterations 12 loss: 0.693151  
iterations 13 loss: 0.693013  
iterations 14 loss: 0.692784  
iterations 15 loss: 0.692699  
iterations 16 loss: 0.692543  
iterations 17 loss: 0.692454  
iterations 18 loss: 0.692360  
iterations 19 loss: 0.692346  
iterations 20 loss: 0.692302  
iterations 21 loss: 0.692252  
iterations 22 loss: 0.692157  
iterations 23 loss: 0.692124  
iterations 24 loss: 0.692125  
iterations 25 loss: 0.692058  
iterations 26 loss: 0.691955  
iterations 27 loss: 0.692028  
iterations 28 loss: 0.692041  
iterations 29 loss: 0.691924  
iterations 30 loss: 0.691913  
iterations 31 loss: 0.691846  
iterations 32 loss: 0.691919  
iterations 33 loss: 0.691750  
iterations 34 loss: 0.691721  
iterations 35 loss: 0.691758  
iterations 36 loss: 0.691690  
iterations 37 loss: 0.691617  
iterations 38 loss: 0.691759  
iterations 39 loss: 0.691584  
iterations 40 loss: 0.691686  
iterations 41 loss: 0.691733  
iterations 42 loss: 0.691534  
iterations 43 loss: 0.691685  
iterations 44 loss: 0.691512  
iterations 45 loss: 0.691496  
iterations 46 loss: 0.691628  
iterations 47 loss: 0.691524  
iterations 48 loss: 0.691654  
iterations 49 loss: 0.691434  
iterations 50 loss: 0.691511  
iterations 51 loss: 0.691512  
iterations 52 loss: 0.691375  
iterations 53 loss: 0.691396  
iterations 54 loss: 0.691220  
iterations 55 loss: 0.691399  
iterations 56 loss: 0.691508  
iterations 57 loss: 0.691317  
iterations 58 loss: 0.691325  
iterations 59 loss: 0.691291  
iterations 60 loss: 0.691302  
iterations 61 loss: 0.691595  
iterations 62 loss: 0.691449  
iterations 63 loss: 0.691344  
iterations 64 loss: 0.691491  
iterations 65 loss: 0.691526  
iterations 66 loss: 0.691443  
iterations 67 loss: 0.691346  
iterations 68 loss: 0.691426  
iterations 69 loss: 0.691398  
iterations 70 loss: 0.691285  
iterations 71 loss: 0.691473  
iterations 72 loss: 0.691414  
iterations 73 loss: 0.691344  
iterations 74 loss: 0.691367  
iterations 75 loss: 0.691273  
iterations 76 loss: 0.691320  
iterations 77 loss: 0.691445  
iterations 78 loss: 0.691444  
iterations 79 loss: 0.691290  
iterations 80 loss: 0.691269  
iterations 81 loss: 0.691318  
iterations 82 loss: 0.691515  
iterations 83 loss: 0.691500  
iterations 84 loss: 0.691304  
iterations 85 loss: 0.691313  
iterations 86 loss: 0.691352  
iterations 87 loss: 0.691352  
iterations 88 loss: 0.691343  
iterations 89 loss: 0.691325  
iterations 90 loss: 0.691234  
iterations 91 loss: 0.691376  
iterations 92 loss: 0.691285  
iterations 93 loss: 0.691477  
iterations 94 loss: 0.691318  
iterations 95 loss: 0.691433  
iterations 96 loss: 0.691140  
iterations 97 loss: 0.691413  
iterations 98 loss: 0.691143  
iterations 99 loss: 0.691252  
